Longitude,Latitude
-58.82937837,-62.1589844
-58.82835348,-62.15939271
-58.82749888,-62.15992539
-58.82705884,-62.16026558
-58.82652302,-62.16042377
-58.82578942,-62.16060471
-58.82447528,-62.16085247
-58.82398851,-62.16110072
-58.82332715,-62.16161191
-58.8227658,-62.16191778
-58.82244691,-62.16229225
-58.82228354,-62.1626955
-58.82196605,-62.16294087
-58.82186373,-62.16323189
-58.82188167,-62.16342996
-58.82210035,-62.16368484
-58.8222589,-62.16398619
-58.82243144,-62.1641823
-58.82251778,-62.1643464
-58.82265852,-62.16453351
-58.82267192,-62.16455254
-58.82270941,-62.16469773
-58.82272353,-62.16472459
-58.82270949,-62.16498726
-58.82269981,-62.16515212
-58.82269794,-62.16518714
-58.82266092,-62.16523254
-58.82256597,-62.16534788
-58.82250447,-62.16536603
-58.82240258,-62.16535244
-58.82211365,-62.16531132
-58.821906,-62.16527034
-58.82147281,-62.16518333
-58.82084169,-62.16498697
-58.82053748,-62.16486533
-58.82013295,-62.16473309
-58.81880325,-62.1640673
-58.81869069,-62.16394656
-58.81862006,-62.16376404
-58.81858583,-62.16361214
-58.81859481,-62.1634877
-58.81849323,-62.16338785
-58.81826667,-62.16332373
-58.81806605,-62.16330251
-58.81771921,-62.16333133
-58.81720597,-62.16349082
-58.81695337,-62.16363774
-58.8165718,-62.16372275
-58.81606796,-62.16390015
-58.81526538,-62.16435869
-58.815018,-62.16449947
-58.81463453,-62.16457125
-58.81447292,-62.1646017
-58.81413055,-62.1647613
-58.81388619,-62.16501722
-58.81374392,-62.16516489
-58.81370165,-62.16540943
-58.81343971,-62.16571879
-58.81303518,-62.16592429
-58.812511,-62.16590545
